customer_id,tenure_months,avg_session_duration,login_frequency,feature_usage_percentage,subscription_plan,contract_type,billing_frequency,is_auto_renew,num_support_tickets
001,12,15.3,10,70,Basic,Annual,Yearly,1,2
002,24,25.6,20,85,Premium,Monthly,Monthly,0,1
003,6,10.0,8,50,Standard,Monthly,Quarterly,1,5
004,36,30.2,25,90,Premium,Annual,Yearly,1,0
005,18,18.5,15,65,Standard,Monthly,Monthly,0,3
006,48,45.0,30,95,Premium,Annual,Yearly,1,1
007,3,5.4,5,40,Basic,Monthly,Monthly,0,8
008,60,35.7,40,88,Premium,Annual,Yearly,1,0
009,9,12.3,7,60,Standard,Monthly,Monthly,1,6
010,15,23.5,18,78,Premium,Annual,Yearly,1,2
011,24,20.1,12,65,Standard,Monthly,Quarterly,0,4
012,18,22.4,14,82,Premium,Annual,Monthly,1,1
013,36,33.0,28,92,Premium,Monthly,Monthly,1,0
014,8,13.5,10,55,Basic,Monthly,Monthly,1,7
015,24,26.0,20,72,Standard,Annual,Yearly,0,3
016,30,40.2,32,93,Premium,Annual,Quarterly,1,2
017,12,17.1,14,68,Basic,Monthly,Monthly,0,6
018,36,32.0,27,91,Standard,Annual,Yearly,1,1
019,20,27.5,22,80,Premium,Monthly,Quarterly,1,0
020,10,19.0,11,60,Standard,Monthly,Monthly,0,5
